ligand	receptor
Fgf9	Fgfr3
Wnt7a	Fzd9
Notch1	Jag2
Wnt5a	Fzd5
Wnt11	Fzd4
Xcl1	Xcr1
Osm	Osmr
Wnt1	Fzd1
Fgf6	Fgfr4
Areg	Egfr
Ccl12	Ccr5
Tgfb3	Tgfbr3
Wnt6	Fzd3
Inhbb	Acvr2b
Bmp8a	Bmpr2
Edn1	Ednra
Wnt1	Fzd6
Wnt5b	Fzd10
Ntf3	Ntrk2
Ntf3	Ntrk3
Dhh	Ptch1
Xcl1	Xcr1
Fgf1	Fgfr1
Wnt2	Fzd4
Jag2	Notch3
Shh	Ptch2
Wnt4	Fzd1
Wnt1	Fzd10
Il4	Il4ra
Wnt16	Fzd10
Wnt16	Fzd6
Wnt6	Fzd7
Plau	Plaur
Tgfa	Egfr
Wnt9a	Fzd5
Fgf15	Fgfr2
Ccl19	Ccr7
Tnfsf14	Tnfrsf10b
Tnfsf14	Tnfrsf14
Bmp4	Bmpr1b
Wnt8b	Fzd6
Wnt4	Fzd9
Ccl13	Ccr1
Ccl13	Ccr1l1
Tgfb3	Tgfbr1
Bmp8b	Bmpr2
Flt3l	Flt3
Wnt11	Fzd8
Wnt5b	Fzd1
Fgf14	Fgfr2
Tgfb2	Tgfbr1
Wnt5a	Fzd7
Wnt16	Fzd3
Vcam1	Itgb1
Ccl11	Ccr3
Wnt3	Fzd6
Wnt9b	Fzd5
Bmp10	Bmpr2
Il2	Il2ra
Tnfsf8	Tnfrsf8
Wnt9a	Fzd7
Wnt2	Fzd8
Wnt2	Fzd7
Shh	Smo
Wnt9a	Fzd2
Bmp15	Bmpr1a
Fgf18	Fgfr3
Ccl28	Ccr10
Fgf2	Fgfr3
Tnfsf4	Tnfrsf4
Fgf13	Fgfr2
Wnt7a	Fzd2
Jag2	Notch2
Wnt2	Fzd6
Il15	Il15ra
Bmp2	Bmpr2
Jag1	Notch1
Bmp15	Bmpr1b
Wnt9b	Fzd6
Wnt5b	Fzd9
Wnt16	Fzd1
Fgf9	Fgfr2
Edn3	Ednrb
Ccl17	Ccr4
Jag2	Notch1
Inhba	Acvr2b
Wnt8a	Fzd2
Bmp2	Bmpr1b
Btc	Egfr
Wnt3	Fzd8
Wnt10a	Fzd8
Fgf15	Fgfr1
Wnt4	Fzd7
Lif	Lifr
Gdnf	Gfra1
Wnt8a	Fzd7
Wnt10a	Fzd2
Inhba	Acvr1
Fgf17	Fgfr3
Tnfsf13	Tnfrsf17
Wnt2	Fzd2
Pdgfb	Pdgfra
Notch3	Jag1
Wnt3	Fzd2
Wnt8a	Fzd8
Gm13306	Ccr10
Ccl27b	Ccr10
Ccl27a	Ccr10
Fgf11	Fgfr2
Shh	Ptch1
Fgf8	Fgfr2
Il9	Gm20489
Il9	Il2rg
Wnt5b	Fzd2
Bmp6	Bmpr1b
Fgf11	Fgfr4
Fgf8	Fgfr1
Cx3cl1	Cx3cr1
Wnt8a	Fzd1
Il19	Il20ra
Wnt9a	Fzd9
Il18	Il18r1
Wnt11	Fzd2
Dll1	Notch3
Wnt8b	Fzd10
Ccl20	Ccr6
Wnt1	Fzd5
Wnt5a	Fzd8
Wnt5b	Fzd7
Wnt3	Fzd1
Bmp7	Bmpr1a
Wnt10a	Fzd1
Wnt8a	Fzd4
Tgfb3	Tgfbr2
Wnt9a	Fzd10
Fgf12	Fgfr1
Wnt8b	Fzd2
Fgf10	Fgfr3
Wnt10a	Fzd7
Bmp5	Bmpr1a
Adipoq	Adipor2
Dll1	Notch1
Tnfsf11	Tnfrsf11b
Cxcl12	Cxcr4
Fgf15	Fgfr3
Wnt4	Fzd3
Ccl2	Ccr2
Fgf10	Fgfr1
Tgfb2	Tgfbr3
Wnt9b	Fzd10
Inhbb	Acvr1
Hcrt	Hcrtr2
Il2	Il2rb
Bmp8a	Bmpr1b
Fgf11	Fgfr1
Wnt4	Fzd5
Wnt6	Fzd8
Wnt7a	Fzd5
Wnt2	Fzd5
Ccl28	Ccr3
Fgf10	Fgfr2
Fgf18	Fgfr1
Thpo	Mpl
Fgf18	Fgfr4
Tnfsf11	Tnfrsf11a
Wnt4	Fzd2
Dhh	Ptch2
Fgf2	Fgfr2
Cxcl9	Cxcr3
Wnt11	Fzd7
Notch2	Jag1
Wnt8b	Fzd5
Wnt9b	Fzd9
Ccl26	Ccr3
Fgf6	Fgfr1
Bmp7	Bmpr1b
Wnt8b	Fzd3
Wnt10a	Fzd5
Wnt4	Fzd10
Bmp15	Bmpr2
Ngf	Ntrk1
Wnt1	Fzd9
Wnt16	Fzd8
Wnt4	Fzd8
Dll1	Notch4
Egf	Egfr
Jag1	Notch2
Wnt9b	Fzd2
Wnt7a	Fzd1
Cxcl1	Cxcr2
Cxcl1	Cxcr1
Angptl1	Tek
Ccl12	Ccr2
Fgf13	Fgfr1
Fgf4	Fgfr2
Wnt10a	Fzd10
Wnt4	Fzd6
Wnt16	Fzd4
Adipoq	Adipor1
Il6	Il6ra
Pdgfa	Pdgfrb
Ccl14	Ccr1
Ccl14	Ccr1l1
Il3	Il3ra
Cxcl10	Cxcr3
Fgf14	Fgfr3
Ccl4	Ccr5
Wnt3	Fzd4
Ntf5	Ntrk2
Ccl25	Ccr9
Wnt5a	Fzd9
Wnt16	Fzd5
Hcrt	Hcrtr1
Fgf14	Fgfr4
Bmp2	Bmpr1a
Fgf17	Fgfr1
Wnt9b	Fzd4
Bmp3	Bmpr1a
Il2	Gm20489
Il2	Il2rg
Dll1	Notch2
Wnt9b	Fzd1
Bmp3	Bmpr1b
Il18	Il18rap
Ccl24	Ccr3
Wnt8a	Fzd3
Fgf12	Fgfr3
Notch1	Jag1
Wnt10a	Fzd6
Wnt10a	Fzd3
Kitl	Kit
Notch2	Jag2
Wnt16	Fzd2
Wnt7a	Fzd4
Wnt11	Fzd9
Wnt6	Fzd9
Fgf18	Fgfr2
Wnt5b	Fzd4
Wnt9a	Fzd1
Wnt11	Fzd3
Il5	Il5ra
Bmp5	Bmpr2
Wnt5a	Fzd10
Wnt3	Fzd9
Ihh	Ptch2
Ntf5	Ngfr
Tgfb1	Tgfbr3
Il1a	Il1r1
Jag2	Notch4
Wnt1	Fzd4
Fgf7	Fgfr3
Fgf8	Fgfr4
Jag1	Notch3
Fgf15	Fgfr4
Wnt6	Fzd6
Fgf12	Fgfr4
Wnt11	Fzd5
Wnt6	Fzd1
Inhbb	Acvr1b
Wnt6	Fzd2
Wnt5b	Fzd6
Tgfb1	Tgfbr1
Bmp7	Bmpr2
Ccl21d	Ccr7
Gm13304	Ccr7
Ccl21b	Ccr7
Gm10591	Ccr7
Ccl21a	Ccr7
Wnt8b	Fzd1
Wnt9a	Fzd4
Wnt5a	Fzd2
Fgf7	Fgfr1
Ccl5	Ccr1
Ccl5	Ccr1l1
Epo	Epor
Ihh	Smo
Fgf1	Fgfr3
Fgf12	Fgfr2
Wnt9a	Fzd3
Fgf7	Fgfr4
Ccl5	Ccr5
Wnt7a	Fzd8
Bmp10	Bmpr1a
Fgf6	Fgfr3
Vegfa	Flt1
Wnt8a	Fzd6
Notch3	Jag2
Wnt1	Fzd7
Il13	Il13ra1
Ccl16	Ccr2
Wnt11	Fzd6
Ihh	Ptch1
Il11	Il11ra1
Il11	Gm13305
Il11	Il11ra2
Fgf4	Fgfr1
Wnt8a	Fzd5
Ccl12	Ccr3
Wnt1	Fzd8
Wnt11	Fzd1
Wnt5b	Fzd5
Wnt9b	Fzd8
Wnt7a	Fzd3
Igf1	Igf2r
Fgf4	Fgfr4
Bmp8b	Bmpr1a
Ccl3	Ccr5
Bmp4	Bmpr1a
Fgf11	Fgfr3
Vegfa	Kdr
Cxcl11	Cxcr3
Fgf14	Fgfr1
Ccl3	Ccr1
Ccl3	Ccr1l1
Wnt3	Fzd7
Il7	Il7r
Tgfb1	Tgfbr2
Wnt8b	Fzd9
Wnt1	Fzd2
Il1b	Il1r1
Il13	Il13ra2
Ccl9	Ccr1
Ccl9	Ccr1l1
Ccl6	Ccr1
Ccl6	Ccr1l1
Jag1	Notch4
Wnt9b	Fzd3
Ccl7	Ccr1
Ccl7	Ccr1l1
Wnt5a	Fzd6
Wnt7a	Fzd7
Ccl2	Ccr8
Ccl8	Ccr8
Cxcl13	Cxcr5
Wnt5b	Fzd3
Wnt16	Fzd7
Tnfsf18	Tnfrsf18
Fgf17	Fgfr2
Wnt2	Fzd9
Fgf7	Fgfr2
Wnt9a	Fzd8
Il9	Il9r
Igf1	Igf1r
Fgf2	Fgfr1
Wnt1	Fzd3
Wnt5b	Fzd8
Wnt10a	Fzd4
Wnt16	Fzd9
Edn2	Ednra
Fgf4	Fgfr3
Il1a	Il1r2
Inha	Acvr2b
Wnt6	Fzd4
Wnt6	Fzd10
Bmp5	Bmpr1b
Wnt5a	Fzd4
Cxcl16	Cxcr6
Lep	Lepr
Tslp	Crlf2
Fgf9	Fgfr4
Bmp6	Bmpr2
Wnt11	Fzd10
Fgf13	Fgfr4
Vegfb	Flt1
Wnt9b	Fzd7
Inhba	Acvr1b
Mst1	Mst1r
Wnt5a	Fzd1
Wnt3	Fzd5
Wnt8b	Fzd7
Wnt2	Fzd10
Inha	Acvr1b
Fgf13	Fgfr3
Ngf	Ngfr
